time,temp_c,rh_pct,temp_c_roll3
2025-10-16 00:00:00,11.7,80,
2025-10-16 01:00:00,11.0,80,
2025-10-16 02:00:00,10.8,80,11.166666666666666
2025-10-16 03:00:00,10.7,82,10.833333333333334
2025-10-16 04:00:00,10.6,82,10.700000000000001
2025-10-16 05:00:00,10.8,79,10.700000000000001
2025-10-16 06:00:00,10.8,77,10.733333333333334
2025-10-16 07:00:00,10.7,76,10.766666666666666
2025-10-16 08:00:00,11.1,74,10.866666666666667
2025-10-16 09:00:00,11.4,82,11.066666666666665
2025-10-16 10:00:00,12.0,80,11.5
2025-10-16 11:00:00,12.2,77,11.866666666666667
2025-10-16 12:00:00,12.9,73,12.366666666666667
2025-10-16 13:00:00,13.9,67,13.0
2025-10-16 14:00:00,13.9,64,13.566666666666668
2025-10-16 15:00:00,14.4,61,14.066666666666668
2025-10-16 16:00:00,14.6,61,14.300000000000002
2025-10-16 17:00:00,14.6,62,14.533333333333333
2025-10-16 18:00:00,14.2,65,14.466666666666667
2025-10-16 19:00:00,13.7,68,14.166666666666666
2025-10-16 20:00:00,13.2,68,13.699999999999998
2025-10-16 21:00:00,12.7,69,13.200000000000001
2025-10-16 22:00:00,11.8,76,12.566666666666665
2025-10-16 23:00:00,11.0,81,11.833333333333334
2025-10-17 00:00:00,10.5,84,11.1
2025-10-17 01:00:00,10.2,87,10.566666666666668
2025-10-17 02:00:00,10.0,88,10.233333333333334
2025-10-17 03:00:00,9.7,90,9.966666666666667
2025-10-17 04:00:00,9.3,91,9.666666666666666
2025-10-17 05:00:00,9.0,92,9.333333333333334
2025-10-17 06:00:00,8.7,93,9.0
2025-10-17 07:00:00,8.5,91,8.733333333333333
2025-10-17 08:00:00,8.6,85,8.6
2025-10-17 09:00:00,8.9,82,8.666666666666666
2025-10-17 10:00:00,9.9,80,9.133333333333335
2025-10-17 11:00:00,11.5,76,10.1
2025-10-17 12:00:00,12.1,72,11.166666666666666
2025-10-17 13:00:00,12.9,69,12.166666666666666
2025-10-17 14:00:00,13.8,65,12.933333333333332
2025-10-17 15:00:00,14.3,63,13.666666666666666
2025-10-17 16:00:00,14.4,62,14.166666666666666
2025-10-17 17:00:00,14.3,63,14.333333333333334
2025-10-17 18:00:00,14.0,64,14.233333333333334
2025-10-17 19:00:00,13.2,69,13.833333333333334
2025-10-17 20:00:00,12.6,74,13.266666666666666
2025-10-17 21:00:00,12.0,77,12.6
2025-10-17 22:00:00,11.3,81,11.966666666666669
2025-10-17 23:00:00,10.7,83,11.333333333333334
2025-10-18 00:00:00,9.9,88,10.633333333333333
2025-10-18 01:00:00,9.6,89,10.066666666666666
2025-10-18 02:00:00,9.2,91,9.566666666666666
2025-10-18 03:00:00,8.4,95,9.066666666666665
2025-10-18 04:00:00,7.9,95,8.5
2025-10-18 05:00:00,7.7,95,8.0
2025-10-18 06:00:00,7.6,95,7.733333333333333
2025-10-18 07:00:00,7.5,95,7.6000000000000005
2025-10-18 08:00:00,7.7,94,7.6000000000000005
2025-10-18 09:00:00,8.3,92,7.833333333333333
2025-10-18 10:00:00,9.3,88,8.433333333333334
2025-10-18 11:00:00,11.1,75,9.566666666666668
2025-10-18 12:00:00,11.8,72,10.733333333333334
2025-10-18 13:00:00,12.6,69,11.833333333333334
2025-10-18 14:00:00,13.4,66,12.6
2025-10-18 15:00:00,14.5,62,13.5
2025-10-18 16:00:00,14.8,59,14.233333333333334
2025-10-18 17:00:00,14.7,60,14.666666666666666
2025-10-18 18:00:00,14.3,62,14.600000000000001
2025-10-18 19:00:00,12.8,70,13.933333333333332
2025-10-18 20:00:00,11.5,81,12.866666666666667
2025-10-18 21:00:00,10.6,84,11.633333333333333
2025-10-18 22:00:00,10.1,84,10.733333333333334
2025-10-18 23:00:00,9.6,83,10.1
2025-10-19 00:00:00,9.1,84,9.6
2025-10-19 01:00:00,8.5,88,9.066666666666665
2025-10-19 02:00:00,8.0,91,8.533333333333333
2025-10-19 03:00:00,7.6,96,8.033333333333333
2025-10-19 04:00:00,7.1,100,7.566666666666666
2025-10-19 05:00:00,7.1,99,7.266666666666666
2025-10-19 06:00:00,6.7,95,6.966666666666666
2025-10-19 07:00:00,6.5,92,6.766666666666667
2025-10-19 08:00:00,6.3,88,6.5
2025-10-19 09:00:00,6.8,84,6.533333333333334
2025-10-19 10:00:00,8.7,79,7.266666666666667
2025-10-19 11:00:00,10.8,82,8.766666666666667
2025-10-19 12:00:00,12.9,75,10.799999999999999
2025-10-19 13:00:00,15.2,70,12.966666666666667
2025-10-19 14:00:00,17.9,57,15.333333333333334
2025-10-19 15:00:00,18.6,55,17.233333333333334
2025-10-19 16:00:00,18.6,57,18.366666666666664
2025-10-19 17:00:00,18.1,59,18.433333333333334
2025-10-19 18:00:00,17.2,62,17.966666666666665
2025-10-19 19:00:00,15.9,67,17.066666666666666
2025-10-19 20:00:00,14.8,70,15.966666666666667
2025-10-19 21:00:00,14.3,72,15.0
2025-10-19 22:00:00,13.9,73,14.333333333333334
2025-10-19 23:00:00,13.6,74,13.933333333333332
2025-10-20 00:00:00,13.1,76,13.533333333333331
2025-10-20 01:00:00,12.6,78,13.1
2025-10-20 02:00:00,12.4,78,12.699999999999998
2025-10-20 03:00:00,12.7,74,12.566666666666665
2025-10-20 04:00:00,13.3,68,12.799999999999997
2025-10-20 05:00:00,13.7,65,13.233333333333333
2025-10-20 06:00:00,13.6,67,13.533333333333331
2025-10-20 07:00:00,13.2,73,13.499999999999998
2025-10-20 08:00:00,12.9,77,13.233333333333333
2025-10-20 09:00:00,12.8,80,12.966666666666663
2025-10-20 10:00:00,12.8,81,12.833333333333334
2025-10-20 11:00:00,12.9,83,12.833333333333334
2025-10-20 12:00:00,13.0,84,12.899999999999999
2025-10-20 13:00:00,13.1,85,13.0
2025-10-20 14:00:00,13.3,86,13.133333333333333
2025-10-20 15:00:00,13.7,86,13.366666666666665
2025-10-20 16:00:00,14.0,84,13.666666666666666
2025-10-20 17:00:00,14.2,84,13.966666666666663
2025-10-20 18:00:00,13.9,85,14.033333333333331
2025-10-20 19:00:00,13.4,86,13.833333333333334
2025-10-20 20:00:00,13.1,87,13.466666666666667
2025-10-20 21:00:00,13.1,86,13.199999999999998
2025-10-20 22:00:00,13.2,84,13.133333333333331
2025-10-20 23:00:00,13.3,83,13.199999999999998
2025-10-21 00:00:00,13.3,83,13.266666666666666
2025-10-21 01:00:00,13.3,85,13.3
2025-10-21 02:00:00,13.3,85,13.3
2025-10-21 03:00:00,13.4,84,13.333333333333334
2025-10-21 04:00:00,13.5,81,13.399999999999999
2025-10-21 05:00:00,13.6,80,13.5
2025-10-21 06:00:00,13.5,80,13.533333333333331
2025-10-21 07:00:00,13.4,81,13.5
2025-10-21 08:00:00,13.3,82,13.399999999999999
2025-10-21 09:00:00,8.6,94,11.766666666666666
2025-10-21 10:00:00,9.5,91,10.466666666666667
2025-10-21 11:00:00,10.3,88,9.466666666666665
2025-10-21 12:00:00,11.0,84,10.266666666666666
2025-10-21 13:00:00,11.6,80,10.966666666666667
2025-10-21 14:00:00,12.0,77,11.533333333333331
2025-10-21 15:00:00,12.2,75,11.933333333333332
2025-10-21 16:00:00,12.2,75,12.133333333333331
2025-10-21 17:00:00,12.0,76,12.133333333333331
2025-10-21 18:00:00,11.4,79,11.866666666666665
2025-10-21 19:00:00,10.5,83,11.299999999999997
2025-10-21 20:00:00,9.8,87,10.566666666666665
2025-10-21 21:00:00,9.6,90,9.966666666666667
2025-10-21 22:00:00,9.6,93,9.666666666666666
2025-10-21 23:00:00,9.7,95,9.633333333333331
2025-10-22 00:00:00,9.6,97,9.633333333333333
2025-10-22 01:00:00,9.6,98,9.633333333333331
2025-10-22 02:00:00,9.6,99,9.6
2025-10-22 03:00:00,9.6,99,9.6
2025-10-22 04:00:00,9.7,98,9.633333333333331
2025-10-22 05:00:00,9.7,98,9.666666666666666
2025-10-22 06:00:00,9.7,98,9.7
2025-10-22 07:00:00,9.7,99,9.7
2025-10-22 08:00:00,9.8,99,9.733333333333333
2025-10-22 09:00:00,10.0,99,9.833333333333332
2025-10-22 10:00:00,10.4,98,10.066666666666665
2025-10-22 11:00:00,10.8,97,10.399999999999999
2025-10-22 12:00:00,11.2,97,10.799999999999999
2025-10-22 13:00:00,11.7,96,11.233333333333333
2025-10-22 14:00:00,12.0,96,11.633333333333331
2025-10-22 15:00:00,12.0,96,11.899999999999999
2025-10-22 16:00:00,12.0,97,12.0
2025-10-22 17:00:00,11.9,97,11.966666666666663
2025-10-22 18:00:00,11.8,98,11.899999999999999
2025-10-22 19:00:00,11.6,98,11.766666666666666
2025-10-22 20:00:00,11.5,99,11.633333333333333
2025-10-22 21:00:00,11.5,99,11.533333333333331
2025-10-22 22:00:00,11.4,99,11.466666666666663
2025-10-22 23:00:00,11.4,99,11.433333333333332